step,value
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
10,0.319711
10,0.319711
10,0.319711
10,0.319711
10,0.319711
10,0.319711
10,0.319711
10,0.319711
10,0.319711
10,0.319711
10,0.319711
10,0.358747
10,0.376387
20,0.246328
20,0.246328
20,0.246328
20,0.246328
20,0.246328
20,0.246328
20,0.246328
20,0.246328
20,0.246328
20,0.246328
20,0.246328
20,0.263027
20,0.269382
20,0.331114
20,0.376387
20,0.398514
20,0.544874
30,0.231759
30,0.231759
30,0.226373
30,0.208656
30,0.190309
30,0.16113
30,0.207982
30,0.207982
30,0.207982
30,0.207982
30,0.207982
30,0.217384
30,0.220857
30,0.251537
30,0.269382
30,0.276202
30,0.300063
30,0.238431
30,0.241816
30,0.245938
30,0.247963
30,0.246814
30,0.242577
40,0.05
40,0.199368
40,0.200642
40,0.201838
40,0.202366
40,0.202803
40,0.19047
40,0.19047
40,0.104183
40,0.05
40,0.05
40,0.190663
40,0.192815
40,0.210959
40,0.220857
40,0.224522
40,0.23683
40,0.209935
40,0.212014
40,0.21573
40,0.219672
40,0.221725
40,0.223825
40,0.180309
40,0.095705
40,0.123524
50,0.05
50,0.193864
50,0.194897
50,0.192915
50,0.189942
50,0.190468
50,0.188112
50,0.05
50,0.05
50,0.183975
50,0.183975
50,0.176631
50,0.17481
50,0.186626
50,0.192815
50,0.195062
50,0.202448
50,0.18914
50,0.190617
50,0.193289
50,0.196131
50,0.197618
50,0.199153
50,0.177416
50,0.175679
50,0.178561
50,0.17379
50,0.219761
50,0.221709
50,0.22249
50,0.172992
50,0.151197
50,0.093342
60,0.190125
60,0.190095
60,0.189878
60,0.133758
60,0.10006
60,0.05
60,0.180572
60,0.18141
60,0.182828
60,0.179741
60,0.179741
60,0.173774
60,0.05
60,0.17063
60,0.17481
60,0.176309
60,0.181162
60,0.174171
60,0.175246
60,0.177201
60,0.179272
60,0.180354
60,0.181468
60,0.16833
60,0.168013
60,0.169848
60,0.167171
60,0.200348
60,0.200028
60,0.201725
60,0.1722
60,0.208917
60,0.171287
60,0.167416
60,0.167494
60,0.124004
60,0.085011
70,0.17898
70,0.129446
70,0.097518
70,0.05
70,0.176095
70,0.176153
70,0.166093
70,0.094834
70,0.095252
70,0.168529
70,0.168529
70,0.161016
70,0.164506
70,0.159442
70,0.162421
70,0.163479
70,0.166872
70,0.16312
70,0.163924
70,0.165389
70,0.166936
70,0.167741
70,0.168569
70,0.160519
70,0.160564
70,0.161837
70,0.160137
70,0.182784
70,0.182537
70,0.183788
70,0.164218
70,0.18993
70,0.164498
70,0.162651
70,0.163206
70,0.162883
70,0.16808
70,0.156062
70,0.177287
70,0.10805
70,0.155622
70,0.122322
80,0.176538
80,0.163851
80,0.150884
80,0.098481
80,0.174072
80,0.171572
80,0.144595
80,0.126145
80,0.05
80,0.167788
80,0.167788
80,0.159053
80,0.155533
80,0.151264
80,0.153471
80,0.15425
80,0.156729
80,0.154755
80,0.155371
80,0.156495
80,0.157677
80,0.158291
80,0.158921
80,0.153985
80,0.154218
80,0.155104
80,0.154045
80,0.169785
80,0.169601
80,0.170534
80,0.157293
80,0.175342
80,0.157783
80,0.156424
80,0.156926
80,0.157298
80,0.161759
80,0.157812
80,0.15641
80,0.161602
80,0.158705
80,0.159415
80,0.132026
80,0.130272
80,0.139135
80,0.68209
80,0.148808
80,0.117887
90,0.101376
90,0.05
90,0.171763
90,0.152072
90,0.131337
90,0.098689
90,0.144659
90,0.126063
90,0.05
90,0.167446
90,0.165576
90,0.134403
90,0.146792
90,0.145087
90,0.146771
90,0.147363
90,0.149234
90,0.148284
90,0.148765
90,0.149644
90,0.150567
90,0.151045
90,0.151534
90,0.148553
90,0.14888
90,0.149497
90,0.148861
90,0.159993
90,0.159853
90,0.160563
90,0.151449
90,0.164352
90,0.152021
90,0.151012
90,0.151452
90,0.151948
90,0.155449
90,0.152645
90,0.152278
90,0.156265
90,0.154249
90,0.155085
90,0.13528
90,0.156221
90,0.153664
90,0.154002
90,0.152245
90,0.155529
90,0.149546
90,0.150754
90,0.102312
90,0.129532
90,0.125445
90,0.083065
90,0.136105
100,0.05
100,0.179303
100,0.179455
100,0.149615
100,0.05
100,0.172933
100,0.144267
100,0.166904
100,0.167759
100,0.168797
100,0.166186
100,0.156554
100,0.15111
100,0.140305
100,0.141619
100,0.142079
100,0.143527
100,0.143184
100,0.143566
100,0.144266
100,0.144998
100,0.145377
100,0.145764
100,0.144036
100,0.144402
