# Statistiques résumées des distributions par grandeur et par pas
step,name,n,mean,std,min,q10,q25,median,q75,q90,q99,max
0,passif_total,11,8.5224,0.0,8.5224,8.5224,8.5224,8.5224,8.5224,8.5224,8.5224,8.5224
0,actif_liquide,11,8.4689,0.0,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689
0,actif_total,11,11.9913,0.0,11.9913,11.9913,11.9913,11.9913,11.9913,11.9913,11.9913,11.9913
0,ratio_L_P,11,0.9937,0.0,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937
0,taux_interne,11,0.1713,0.0,0.1713,0.1713,0.1713,0.1713,0.1713,0.1713,0.1713,0.1713
0,levier_entite,11,0.7107,0.0,0.7107,0.7107,0.7107,0.7107,0.7107,0.7107,0.7107,0.7107
10,passif_total,12,42.7831,3.4156,31.4548,43.8129,43.8129,43.8129,43.8129,43.8129,43.8129,43.8129
10,actif_liquide,12,13.4351,0.714,11.0671,13.6503,13.6503,13.6503,13.6503,13.6503,13.6503,13.6503
10,actif_total,12,51.2181,4.1296,37.5219,52.4632,52.4632,52.4632,52.4632,52.4632,52.4632,52.4632
10,ratio_L_P,12,0.3149,0.0111,0.3116,0.3116,0.3116,0.3116,0.3116,0.3116,0.3474,0.3518
10,taux_interne,12,0.0767,0.0038,0.0755,0.0755,0.0755,0.0755,0.0755,0.0755,0.0877,0.0892
10,levier_entite,12,0.8354,0.0009,0.8351,0.8351,0.8351,0.8351,0.8351,0.8351,0.838,0.8383
20,passif_total,18,72.9135,33.8361,14.7054,22.3019,33.4621,97.9351,97.9351,97.9351,97.9351,97.9351
20,actif_liquide,18,18.5574,6.1714,7.9631,9.1586,11.492,23.0873,23.0873,23.0873,23.0873,23.0873
20,actif_total,18,86.4709,40.0063,17.6685,26.4605,39.954,116.0224,116.0224,116.0224,116.0224,116.0224
20,ratio_L_P,18,0.2941,0.0914,0.2357,0.2357,0.2357,0.2357,0.3447,0.4153,0.529,0.5415
20,taux_interne,18,0.0681,0.0262,0.0505,0.0505,0.0505,0.0505,0.0868,0.1067,0.1284,0.1304
20,levier_entite,18,0.8421,0.0034,0.8323,0.8375,0.8411,0.8441,0.8441,0.8441,0.8441,0.8441
30,passif_total,21,119.4022,56.9558,11.6733,39.4838,68.5167,168.5262,168.5262,168.5262,168.5262,168.5262
30,actif_liquide,21,25.5676,8.8392,7.9391,12.7665,18.2669,33.0448,33.0448,33.0448,33.0448,33.0448
30,actif_total,21,139.9699,65.7848,14.6124,47.2503,81.7837,196.5709,196.5709,196.5709,196.5709,196.5709
30,ratio_L_P,21,0.2529,0.1064,0.1961,0.1961,0.1961,0.1961,0.2666,0.3233,0.6145,0.6801
30,taux_interne,21,0.0543,0.0255,0.0385,0.0385,0.0385,0.0385,0.0604,0.0796,0.1349,0.1463
30,levier_entite,21,0.847,0.0142,0.7989,0.8356,0.8383,0.8573,0.8573,0.8573,0.8573,0.8573
40,passif_total,28,148.8623,95.2817,8.5224,23.2513,45.1039,142.2617,250.9597,250.9597,250.9597,250.9597
40,actif_liquide,28,28.945,13.7421,8.4689,9.3219,13.8886,29.5288,43.1492,43.1492,43.1492,43.1492
40,actif_total,28,172.8073,108.9914,11.9913,27.5732,53.9925,166.7905,289.109,289.109,289.109,289.109
40,ratio_L_P,28,0.286,0.2104,0.1719,0.1719,0.1719,0.2076,0.3099,0.4018,0.9937,0.9937
40,taux_interne,28,0.0587,0.0393,0.0316,0.0316,0.0316,0.0419,0.0749,0.1039,0.1713,0.1713
40,levier_entite,28,0.8452,0.0391,0.7107,0.8362,0.8428,0.8529,0.868,0.868,0.868,0.868
50,passif_total,32,196.6603,125.5663,8.5224,39.9167,68.5167,200.3704,341.2149,341.2149,341.2149,341.2149
50,actif_liquide,32,34.8028,16.6615,8.311,12.8549,18.2669,37.0837,53.1758,53.1758,53.1758,53.1758
50,actif_total,32,226.4631,142.1814,11.9913,47.7716,81.7837,232.4541,389.3907,389.3907,389.3907,389.3907
50,ratio_L_P,32,0.2417,0.1562,0.1558,0.1558,0.1558,0.1852,0.2666,0.3222,0.8307,0.9937
50,taux_interne,32,0.0495,0.0323,0.0271,0.0271,0.0271,0.0353,0.0604,0.0792,0.155,0.1713
50,levier_entite,32,0.8546,0.0303,0.7107,0.8357,0.8414,0.8619,0.8763,0.8763,0.8763,0.8763
60,passif_total,40,223.549,163.806,11.6733,20.3047,61.895,200.7741,435.9989,435.9989,435.9989,435.9989
60,actif_liquide,40,37.3111,20.8732,7.9391,8.7659,17.0898,37.0853,62.97,62.97,62.97,62.97
60,actif_total,40,255.8601,184.6006,14.6124,24.0706,73.9847,232.8594,493.9689,493.9689,493.9689,493.9689
60,ratio_L_P,40,0.2467,0.1433,0.1444,0.1444,0.1444,0.1856,0.2762,0.435,0.6801,0.6801
60,taux_interne,40,0.0521,0.0367,0.0239,0.0239,0.0239,0.0355,0.0636,0.1114,0.1463,0.1463
