step,value
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
10,0.077218
10,0.077218
10,0.077218
10,0.077218
10,0.077218
10,0.077218
10,0.077218
10,0.077218
10,0.077218
10,0.077218
10,0.077218
10,0.090488
10,0.096108
20,0.052849
20,0.052849
20,0.052849
20,0.052849
20,0.052849
20,0.052849
20,0.052849
20,0.052849
20,0.052849
20,0.052849
20,0.052849
20,0.058171
20,0.060234
20,0.081149
20,0.096108
20,0.102577
20,0.130834
30,0.043733
30,0.043733
30,0.044169
30,0.044408
30,0.044366
30,0.044134
30,0.041169
30,0.041169
30,0.041169
30,0.041169
30,0.041169
30,0.043965
30,0.045009
30,0.054493
30,0.060234
30,0.062472
30,0.070477
30,0.063044
30,0.06461
30,0.067536
30,0.070719
30,0.072382
30,0.074055
40,0.036155
40,0.034953
40,0.035254
40,0.03556
40,0.035715
40,0.03587
40,0.036792
40,0.036792
40,0.03617
40,0.035496
40,0.035496
40,0.036128
40,0.036746
40,0.042049
40,0.045009
40,0.046117
40,0.049887
40,0.04912
40,0.05002
40,0.051726
40,0.053585
40,0.054578
40,0.055617
40,0.051704
40,0.050914
40,0.052186
50,0.032382
50,0.031455
50,0.031654
50,0.032067
50,0.032256
50,0.032362
50,0.033184
50,0.032013
50,0.032453
50,0.031589
50,0.031589
50,0.033227
50,0.031633
50,0.034973
50,0.036746
50,0.037395
50,0.039543
50,0.040666
50,0.041235
50,0.042314
50,0.043476
50,0.044091
50,0.04473
50,0.044506
50,0.045413
50,0.045753
50,0.045861
50,0.05763
50,0.057443
50,0.058629
50,0.048638
50,0.063845
50,0.048392
60,0.028359
60,0.028536
60,0.028764
60,0.029056
60,0.028912
60,0.028462
60,0.028203
60,0.028659
60,0.028953
60,0.029283
60,0.029283
60,0.028833
60,0.028918
60,0.030467
60,0.031633
60,0.032053
60,0.033421
60,0.035125
60,0.03551
60,0.03624
60,0.03702
60,0.037429
60,0.037853
60,0.03914
60,0.039993
60,0.040084
60,0.040493
60,0.046292
60,0.046146
60,0.046891
60,0.042477
60,0.051462
60,0.043637
60,0.043114
60,0.0436
60,0.043982
60,0.045739
70,0.026181
70,0.026134
70,0.02603
70,0.026239
70,0.025683
70,0.025801
70,0.026468
70,0.026344
70,0.026552
70,0.025683
70,0.025683
70,0.025787
70,0.026947
70,0.027381
70,0.028197
70,0.028488
70,0.029424
70,0.031276
70,0.03155
70,0.032071
70,0.032622
70,0.03291
70,0.033207
70,0.035137
70,0.035903
70,0.03586
70,0.036398
70,0.039042
70,0.038946
70,0.039435
70,0.037771
70,0.042553
70,0.038792
70,0.038538
70,0.038924
70,0.039939
70,0.041681
70,0.041054
70,0.055096
70,0.042638
70,0.055742
70,0.056662
80,0.024347
80,0.024699
80,0.024829
80,0.02502
80,0.024104
80,0.024304
80,0.024895
80,0.025253
80,0.024758
80,0.024414
80,0.024414
80,0.024895
80,0.024481
80,0.025159
80,0.025756
80,0.025967
80,0.026641
80,0.028484
80,0.028686
80,0.029072
80,0.029478
80,0.029689
80,0.029907
80,0.032087
80,0.03277
80,0.032653
80,0.033239
80,0.034141
80,0.034075
80,0.034414
80,0.034199
80,0.036651
80,0.035084
80,0.03498
80,0.035285
80,0.036181
80,0.037321
80,0.037243
80,0.037529
80,0.039068
80,0.038302
80,0.038881
80,0.033879
80,0.039934
80,0.039221
80,0.146561
80,0.053818
80,0.055476
90,0.023659
90,0.023754
90,0.023303
90,0.023791
90,0.023931
90,0.023871
90,0.023595
90,0.023894
90,0.023508
90,0.023232
90,0.02328
90,0.023937
90,0.023893
90,0.023498
90,0.02395
90,0.024108
90,0.024611
90,0.026389
90,0.026542
90,0.026837
90,0.027146
90,0.027306
90,0.027471
90,0.029718
90,0.030327
90,0.030169
90,0.030764
90,0.030662
90,0.030614
90,0.03086
90,0.03144
90,0.032534
90,0.032207
90,0.032198
90,0.032442
90,0.033225
90,0.033958
90,0.034143
90,0.034449
90,0.035487
90,0.034981
90,0.035437
90,0.032515
90,0.036709
90,0.03613
90,0.037334
90,0.036483
90,0.037473
90,0.037204
90,0.037672
90,0.036982
90,0.03937
90,0.038124
90,0.037898
90,0.05019
100,0.021541
100,0.021352
100,0.021672
100,0.022254
100,0.021776
100,0.021365
100,0.022373
100,0.021461
100,0.021733
100,0.02204
100,0.022187
100,0.021946
100,0.022065
100,0.022224
100,0.022573
100,0.022695
100,0.023081
100,0.024775
100,0.024895
100,0.025126
100,0.025367
100,0.025491
100,0.025619
100,0.027847
100,0.028392
100,0.028211
100,0.028796
100,0.028097
100,0.028061
100,0.028245
100,0.029271
100,0.02954
100,0.029941
100,0.029992
100,0.03019
100,0.030877
100,0.031333
100,0.031672
