# Statistiques résumées des distributions par grandeur et par pas
step,name,n,mean,std,min,q10,q25,median,q75,q90,q99,max
0,passif_total,301,8.5224,0.0,8.5224,8.5224,8.5224,8.5224,8.5224,8.5224,8.5224,8.5224
0,actif_liquide,301,8.4689,0.0,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689
0,actif_total,301,11.9913,0.0,11.9913,11.9913,11.9913,11.9913,11.9913,11.9913,11.9913,11.9913
0,ratio_L_P,301,0.9937,0.0,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937
0,taux_interne,301,0.1713,0.0,0.1713,0.1713,0.1713,0.1713,0.1713,0.1713,0.1713,0.1713
0,levier_entite,301,0.7107,0.0,0.7107,0.7107,0.7107,0.7107,0.7107,0.7107,0.7107,0.7107
10,passif_total,303,41.8408,1.0724,27.0659,41.9275,41.9275,41.9275,41.9275,41.9275,41.9275,41.9275
10,actif_liquide,303,13.386,0.2316,10.1873,13.4047,13.4047,13.4047,13.4047,13.4047,13.4047,13.4047
10,actif_total,303,50.2268,1.304,32.2532,50.3321,50.3321,50.3321,50.3321,50.3321,50.3321,50.3321
10,ratio_L_P,303,0.32,0.0039,0.3197,0.3197,0.3197,0.3197,0.3197,0.3197,0.3197,0.3764
10,taux_interne,303,0.0773,0.0013,0.0772,0.0772,0.0772,0.0772,0.0772,0.0772,0.0772,0.0961
10,levier_entite,303,0.833,0.0004,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.8392
20,passif_total,307,88.5621,7.4158,14.6048,89.5096,89.5096,89.5096,89.5096,89.5096,89.5096,89.5096
20,actif_liquide,307,21.8725,1.3943,7.9578,22.0487,22.0487,22.0487,22.0487,22.0487,22.0487,22.0487
20,actif_total,307,105.4346,8.8097,17.5626,106.5583,106.5583,106.5583,106.5583,106.5583,106.5583,106.5583
20,ratio_L_P,307,0.2486,0.021,0.2463,0.2463,0.2463,0.2463,0.2463,0.2463,0.3274,0.5449
20,taux_interne,307,0.0535,0.006,0.0528,0.0528,0.0528,0.0528,0.0528,0.0528,0.0799,0.1308
20,levier_entite,307,0.8399,0.0007,0.8316,0.84,0.84,0.84,0.84,0.84,0.84,0.8417
30,passif_total,313,144.1743,15.934,45.5861,147.5041,147.5041,147.5041,147.5041,147.5041,147.5041,147.5041
30,actif_liquide,313,30.0865,2.8825,11.0582,30.6782,30.6782,30.6782,30.6782,30.6782,30.6782,30.6782
30,actif_total,313,169.8317,18.6384,51.6443,173.1823,173.1823,173.1823,173.1823,173.1823,178.858,183.4075
30,ratio_L_P,313,0.2096,0.0098,0.1611,0.208,0.208,0.208,0.208,0.208,0.2511,0.3001
30,taux_interne,313,0.042,0.0045,0.0412,0.0412,0.0412,0.0412,0.0412,0.0412,0.0701,0.0741
30,levier_entite,313,0.8492,0.0193,0.707,0.8517,0.8517,0.8517,0.8517,0.8517,0.8657,0.8827
40,passif_total,316,205.6331,22.2568,80.8206,210.8615,210.8615,210.8615,210.8615,210.8615,210.8615,210.8615
40,actif_liquide,316,37.8292,4.8715,9.1828,38.9526,38.9526,38.9526,38.9526,38.9526,39.8675,40.7977
40,actif_total,316,239.7902,26.2176,93.9102,244.8141,244.8141,244.8141,244.8141,244.8141,263.2176,267.8311
40,ratio_L_P,316,0.1842,0.0166,0.05,0.1847,0.1847,0.1847,0.1847,0.1847,0.2216,0.2368
40,taux_interne,316,0.0351,0.0032,0.0344,0.0344,0.0344,0.0344,0.0344,0.0344,0.0521,0.0556
40,levier_entite,316,0.8581,0.0204,0.7308,0.8613,0.8613,0.8613,0.8613,0.8613,0.8613,0.9571
50,passif_total,323,265.4103,34.9052,107.5521,250.5393,275.8182,275.8182,275.8182,275.8182,275.8182,275.8182
50,actif_liquide,323,44.799,6.7514,9.977,44.4321,46.7053,46.7053,46.7053,46.7053,47.4446,49.2606
50,actif_total,323,308.5037,41.106,112.5292,317.5235,317.5235,317.5235,317.5235,317.5235,349.4275,353.9513
50,ratio_L_P,323,0.169,0.0156,0.05,0.1693,0.1693,0.1693,0.1693,0.1767,0.1959,0.2024
50,taux_interne,323,0.031,0.0034,0.0301,0.0301,0.0301,0.0301,0.0301,0.0316,0.0474,0.0482
50,levier_entite,323,0.8614,0.0298,0.7459,0.8652,0.8687,0.8687,0.8687,0.8687,0.8844,0.9568
