step,volume_joules,nb_entites,ratio_destruction
394,741.0391,2,0.001176
396,296.8624,1,0.000471
398,635.5279,2,0.001003
399,320.3358,1,0.000508
400,384.8922,1,0.00061
401,339.755,1,0.000539
402,739.7624,2,0.001175
403,348.8853,1,0.000556
404,435.3243,1,0.000692
405,366.4323,1,0.000583
406,331.3194,1,0.000527
407,323.2459,1,0.000515
409,415.5925,1,0.000662
410,358.4909,1,0.000572
411,697.5557,2,0.001113
412,476.1173,1,0.000762
413,362.584,1,0.000582
415,427.4843,1,0.000685
417,380.5644,1,0.00061
418,919.2085,2,0.001477
421,866.1611,2,0.001387
422,450.2146,1,0.000726
423,469.3799,1,0.000756
424,357.4886,1,0.000576
425,756.1699,2,0.001221
426,878.4234,2,0.001426
427,349.3203,1,0.000571
428,334.6913,1,0.000548
429,381.481,1,0.000626
432,831.1386,2,0.001359
436,488.652,1,0.000796
438,822.4711,2,0.001339
439,439.4076,1,0.000719
442,450.9536,1,0.000736
445,391.6257,1,0.000637
447,872.1943,2,0.001417
448,798.963,2,0.001305
449,385.7979,1,0.000634
450,427.0179,1,0.000703
456,516.58,1,0.00084
460,469.5108,1,0.000759
468,460.9453,1,0.000735
472,902.5045,2,0.001427
473,537.1564,1,0.000854
478,554.2985,1,0.000872
487,394.4368,1,0.000612
488,598.9843,1,0.000931
490,449.4878,1,0.000698
493,467.6928,1,0.000723
494,383.9334,1,0.000594
495,409.1164,1,0.000634
498,402.3805,1,0.000623
500,541.3317,1,0.000838
501,597.8804,1,0.000926
506,395.3354,1,0.000608
507,522.3827,1,0.000805
508,376.195,1,0.000582
510,473.1573,1,0.000731
513,413.642,1,0.000637
516,579.4277,1,0.000891
520,537.2109,1,0.000823
521,875.4462,2,0.001345
525,1798.6732,4,0.002757
528,549.6776,1,0.00085
533,368.0816,1,0.000566
535,365.446,1,0.000561
541,1195.7035,2,0.001821
542,525.6338,1,0.000808
543,720.9978,2,0.001112
544,353.7028,1,0.000547
546,336.4699,1,0.000521
550,338.6927,1,0.000522
552,360.2441,1,0.000554
554,830.817,2,0.001278
557,806.5371,2,0.001241
558,387.4127,1,0.0006
559,457.8218,1,0.000709
562,455.1054,1,0.000705
564,419.1108,1,0.00065
567,425.5036,1,0.000658
570,537.5099,1,0.00083
572,423.9408,1,0.000655
577,420.5288,1,0.000642
584,427.6545,1,0.000644
589,409.8535,1,0.000614
594,868.7741,2,0.001283
597,350.8842,1,0.000521
598,502.3553,1,0.000747
605,449.6593,1,0.000659
610,427.1725,1,0.000621
612,506.7793,1,0.000738
614,465.433,1,0.000676
619,1014.9135,2,0.001462
624,412.7912,1,0.000594
626,1067.8436,2,0.001532
627,462.5878,1,0.000666
629,470.7506,1,0.000679
633,866.1167,2,0.001239
636,909.3842,2,0.001301
641,450.4181,1,0.000643
642,405.3163,1,0.00058
643,1001.2881,2,0.001436
644,487.4983,1,0.000705
648,944.7041,2,0.001362
649,384.3852,1,0.000558
650,353.8654,1,0.000515
651,360.2475,1,0.000525
655,359.1013,1,0.00052
660,373.0233,1,0.000535
666,515.0558,1,0.000728
669,781.1793,2,0.001102
670,370.8421,1,0.000526
671,355.8147,1,0.000504
676,1148.5559,2,0.001617
677,629.561,1,0.000894
679,976.8149,2,0.001388
686,414.3507,1,0.000586
691,438.0724,1,0.000612
693,329.8286,1,0.00046
696,371.193,1,0.000515
705,498.9014,1,0.000678
713,967.0012,2,0.00129
716,957.5781,2,0.001283
723,408.6732,1,0.00054
724,857.8258,2,0.001135
727,588.7856,1,0.000782
728,599.6576,1,0.000798
729,838.7869,2,0.00112
730,402.3553,1,0.00054
731,492.6324,1,0.000663
733,951.2278,2,0.001282
741,371.2318,1,0.000493
742,1038.8571,2,0.001382
743,1201.4949,2,0.00161
745,441.6535,1,0.000594
746,645.6349,1,0.000868
755,382.6769,1,0.000505
758,382.5051,1,0.000502
761,631.8139,1,0.000828
762,477.7959,1,0.000628
765,1050.098,2,0.001375
767,506.7198,1,0.000666
768,378.3447,1,0.000499
769,401.2344,1,0.000529
770,924.9694,2,0.001223
771,584.9238,1,0.00078
772,947.1114,2,0.001267
774,368.035,1,0.000493
776,594.4764,1,0.000797
778,481.7241,1,0.000648
786,395.1288,1,0.000521
789,395.4551,1,0.000519
790,378.255,1,0.000497
791,971.3666,2,0.001279
795,552.0714,1,0.000727
799,425.263,1,0.000557
802,1041.107,2,0.001361
806,635.173,1,0.000828
807,386.1636,1,0.000506
809,773.883,2,0.001012
811,978.4729,2,0.001282
813,519.6786,1,0.000683
815,410.0342,1,0.000539
817,1045.2044,2,0.001374
818,401.1077,1,0.000531
820,658.3544,1,0.00087
823,491.8859,1,0.000648
831,910.6861,2,0.001188
835,455.7025,1,0.000591
836,493.0198,1,0.000641
837,490.4932,1,0.00064
838,393.9431,1,0.000515
839,447.9573,1,0.000586
840,599.1578,1,0.000785
841,991.2559,2,0.001303
842,1113.02,2,0.001472
843,573.0953,1,0.000764
844,602.1263,1,0.000807
846,484.4079,1,0.000648
847,512.3473,1,0.000688
849,1203.3625,2,0.001617
852,466.6298,1,0.000629
853,514.9926,1,0.000695
855,1434.8046,3,0.001937
856,573.7447,1,0.000784
861,651.5791,1,0.000884
862,498.1566,1,0.000677
863,540.5359,1,0.000736
864,481.9741,1,0.000658
868,1289.9358,2,0.001755
869,1101.0098,2,0.001508
872,456.3048,1,0.000628
874,425.0125,1,0.000586
875,488.0822,1,0.000673
880,439.1961,1,0.000604
881,434.2036,1,0.000597
882,451.1913,1,0.000621
884,1048.0543,2,0.001444
885,455.1853,1,0.000631
891,575.8081,1,0.000793
895,506.645,1,0.000693
900,887.0732,2,0.001207
901,428.1274,1,0.000586
902,876.2856,2,0.0012
905,661.1777,1,0.00091
908,445.3311,1,0.000611
910,407.915,1,0.000559
913,430.5578,1,0.000588
914,1149.8313,2,0.001572
915,1347.6959,3,0.001855
922,493.2803,1,0.000677
925,453.6326,1,0.000621
926,573.9458,1,0.000788
930,430.1482,1,0.000589
934,564.3709,1,0.000766
938,1006.049,2,0.001362
939,1015.1954,2,0.001384
942,416.0215,1,0.000567
943,553.9446,1,0.000757
944,505.9368,1,0.000692
945,526.0272,1,0.000722
946,543.0846,1,0.000749
947,842.5594,2,0.001166
950,550.3628,1,0.000764
953,546.8145,1,0.000755
954,918.4815,2,0.001273
955,416.9467,1,0.000582
956,372.1045,1,0.000521
958,578.4617,1,0.00081
960,642.0024,1,0.000901
961,634.1317,1,0.000892
963,1121.1825,2,0.00158
964,412.9359,1,0.000587
966,416.4182,1,0.000591
968,547.0629,1,0.000776
970,477.5687,1,0.000679
971,966.9393,2,0.001379
977,389.6505,1,0.000552
978,710.2799,1,0.001009
981,447.6325,1,0.000635
983,478.9118,1,0.000681
985,429.9032,1,0.000609
986,541.2548,1,0.00077
988,402.7738,1,0.000573
989,530.8518,1,0.000757
993,442.7436,1,0.000628
994,499.9823,1,0.000711
995,543.2369,1,0.000774
1002,408.8933,1,0.000577
1004,456.6177,1,0.000644
1009,501.0121,1,0.000702
1010,408.6961,1,0.000574
1011,569.0786,1,0.000802
1012,512.0185,1,0.000724
1014,1077.7644,2,0.001523
1016,393.1703,1,0.00056
1025,372.6185,1,0.000521
1028,528.9246,1,0.000736
1031,405.2941,1,0.000563
1032,515.4897,1,0.000718
1033,1016.594,2,0.00142
1035,1229.4131,2,0.001728
1037,356.8722,1,0.000503
1038,414.6557,1,0.000587
1040,381.7225,1,0.000541
1043,356.8678,1,0.000504
1044,453.6176,1,0.000642
1045,608.8786,1,0.000862
1046,409.9223,1,0.000581
1048,639.97,1,0.000907
1049,442.4364,1,0.00063
1053,371.1531,1,0.000526
1057,1043.4834,2,0.00147
