step,n_entities_alive,n_entities_total,n_spawned,extraction_total,interest_paid_total,credit_transactions,auto_invest_total,n_failures,destroyed_assets,redirected_claims,volume_prets_actifs,n_prets_actifs,actif_total_systeme,passif_total_systeme,liquidite_totale,mean_passif,mean_internal_rate
0,11,11,1,24.5967,0.0,0,38.7464,0,0.0,0.0,0,0,131.9048,93.7464,93.1584,8.5224,0.171273
1,11,11,0,32.1125,0.0,0,35.4409,0,0.0,0.0,0,0,160.3495,128.0249,87.3246,11.6386,0.146561
2,11,11,0,37.527,0.0,0,34.8188,0,0.0,0.0,0,0,193.1887,160.653,87.5357,14.6048,0.130834
3,12,12,1,44.2739,0.0,0,39.2548,0,0.0,0.0,0,0,241.4568,201.7382,99.7186,16.8115,0.123632
4,13,13,1,51.2572,0.0,0,44.2896,0,0.0,0.0,0,0,295.2423,246.7756,113.4667,18.9827,0.117661
5,13,13,0,56.2584,0.0,0,46.2793,0,0.0,0.0,0,0,342.653,287.6017,120.0513,22.1232,0.108134
6,13,13,0,60.8516,0.0,0,48.9716,0,0.0,0.0,0,0,393.2085,329.8953,128.3132,25.3766,0.100563
7,13,13,0,65.2401,0.0,0,52.0755,0,0.0,0.0,0,0,446.6307,374.0239,137.6068,28.7711,0.094217
8,13,13,0,69.5118,0.0,0,55.4216,0,0.0,0.0,0,0,502.7294,420.1747,147.5547,32.3211,0.088746
9,13,13,0,73.7091,0.0,0,58.9087,0,0.0,0.0,0,0,561.358,468.4282,157.9297,36.0329,0.083948
10,13,13,0,77.8532,0.0,0,62.4753,0,0.0,0.0,0,0,622.3927,518.8007,168.592,39.9077,0.079692
11,14,14,1,84.1908,0.0,0,69.6053,0,0.0,0.0,0,0,697.7137,579.792,187.9217,41.4137,0.082698
12,14,14,0,88.9378,0.0,0,72.9292,0,0.0,0.0,0,0,765.8206,637.4275,198.3931,45.5305,0.07775
13,14,14,0,93.4582,0.0,0,76.4982,0,0.0,0.0,0,0,836.419,696.9029,209.5161,49.7788,0.073744
14,15,15,1,100.0975,0.0,0,83.72,0,0.0,0.0,0,0,921.3171,766.8157,229.5013,51.121,0.07703
15,16,16,1,107.344,0.0,0,90.7066,0,0.0,0.0,0,0,1010.9697,841.7679,249.2019,52.6105,0.078709
16,16,16,0,112.7892,0.0,0,94.1417,0,0.0,0.0,0,0,1093.6661,913.0565,260.6096,57.066,0.073787
17,16,16,0,117.9124,0.0,0,97.9645,0,0.0,0.0,0,0,1179.0164,986.0293,272.9871,61.6268,0.069912
18,17,17,1,125.1042,0.0,0,105.5211,0,0.0,0.0,0,0,1278.7779,1069.3695,294.4083,62.9041,0.072793
19,17,17,0,130.6378,0.0,0,109.366,0,0.0,0.0,0,0,1371.3837,1149.2045,307.1792,67.6003,0.068645
20,17,17,0,135.9043,0.0,0,113.5074,0,0.0,0.0,0,0,1466.5002,1230.7857,320.7145,72.3992,0.065318
21,18,18,1,143.2628,0.0,0,121.3281,0,0.0,0.0,0,0,1575.9099,1322.7403,343.1696,73.4856,0.068517
22,19,19,1,151.2092,0.0,2,111.6649,0,0.0,0.0,54.7972,2,1744.8466,1457.2202,327.8292,76.6958,0.062531
23,19,19,0,162.3446,2.8529,0,122.8658,0,0.0,0.0,54.7972,2,1856.521,1539.2193,357.5045,81.0115,0.060371
24,20,20,1,169.3753,2.8529,1,126.1603,0,0.0,0.0,83.9051,3,2010.9401,1656.161,370.874,82.808,0.059609
25,20,20,0,177.812,4.2866,0,137.1715,0,0.0,0.0,83.9051,3,2131.0935,1746.6477,400.5408,87.3324,0.057708
26,21,21,1,185.1062,4.2866,1,139.8903,0,0.0,0.0,114.6865,4,2295.6687,1872.92,413.0623,89.1867,0.057139
27,22,22,1,196.1476,5.727,1,144.719,0,0.0,0.0,146.291,5,2467.999,2001.2059,430.5021,90.9639,0.056605
28,23,23,1,207.2866,7.1704,1,150.996,0,0.0,0.0,178.7095,6,2648.0121,2132.8842,451.4184,92.7341,0.056085
29,23,23,0,216.3548,8.6167,0,165.2401,0,0.0,0.0,178.7095,6,2790.4749,2237.5878,489.1776,97.2864,0.054529
30,23,23,0,221.8711,8.6167,0,176.4397,0,0.0,0.0,178.7095,6,2934.4474,2350.3499,520.3881,102.1891,0.053017
31,23,23,0,227.6293,8.6167,0,185.6678,0,0.0,0.0,178.7095,6,3080.0559,2468.9571,547.3893,107.346,0.051566
32,23,23,0,233.5183,8.6167,0,193.6117,0,0.0,0.0,178.7095,6,3227.3373,2591.9502,571.6777,112.6935,0.050185
33,23,23,0,239.4661,8.6167,0,200.7116,0,0.0,0.0,178.7095,6,3376.272,2718.3533,594.2092,118.1893,0.048876
34,23,23,0,245.4268,8.6167,0,207.2492,0,0.0,0.0,178.7095,6,3526.8054,2847.5019,615.5941,123.8044,0.047639
35,24,24,1,253.6074,8.6167,2,193.0758,0,0.0,0.0,254.4287,8,3766.573,3039.3218,592.8225,126.6384,0.046924
36,24,24,0,265.5344,11.5427,0,208.0808,0,0.0,0.0,254.4287,8,3927.3606,3159.8229,633.109,131.6593,0.045912
37,24,24,0,270.9385,11.5427,0,219.7605,0,0.0,0.0,254.4287,8,4089.0234,3288.3888,666.206,137.0162,0.04492
38,24,24,0,276.5536,11.5427,0,229.2713,0,0.0,0.0,254.4287,8,4251.6702,3422.6084,694.6331,142.6087,0.043958
39,26,26,2,286.7539,11.5427,1,231.5627,0,0.0,0.0,295.1974,9,4480.0869,3605.8616,709.0279,138.687,0.049107
40,26,26,0,297.5203,13.0132,3,203.2171,0,0.0,0.0,422.7667,12,4780.7697,3832.3721,655.6309,147.3989,0.043063
41,27,27,1,313.4355,17.5708,2,203.4247,0,0.0,0.0,513.3265,14,5064.1125,4020.2854,665.5006,148.8995,0.04274
42,27,27,0,325.0283,20.7972,0,232.6596,0,0.0,0.0,513.3265,14,5252.7716,4136.3864,738.0587,153.1995,0.042073
43,29,29,2,334.3198,20.7972,1,246.1496,0,0.0,0.0,559.7218,15,5511.5975,4318.8897,777.9861,148.9272,0.046803
44,30,30,1,347.2795,22.4105,2,241.215,0,0.0,0.0,653.6044,17,5814.8377,4533.7706,777.4627,151.1257,0.043387
45,31,31,1,364.001,25.637,2,244.4479,0,0.0,0.0,742.4095,19,6123.1014,4740.5104,795.1815,152.9197,0.043016
46,31,31,0,376.2736,28.7095,0,275.3636,0,0.0,0.0,742.4095,19,6338.3805,4878.3087,872.6624,157.3648,0.042332
47,31,31,0,381.8899,28.7095,0,297.7892,0,0.0,0.0,742.4095,19,6553.4802,5034.3987,931.672,162.4,0.041617
48,31,31,0,388.0861,28.7095,0,314.6886,0,0.0,0.0,742.4095,19,6768.7892,5202.7054,978.6743,167.8292,0.040894
49,31,31,0,394.6267,28.7095,0,327.9814,0,0.0,0.0,742.4095,19,6984.5187,5379.2556,1017.8536,173.5244,0.04018
50,33,33,2,405.8301,28.7095,3,297.6521,0,0.0,0.0,895.7525,22,7378.0905,5683.523,963.815,172.228,0.04058
51,34,34,1,427.1186,33.66,1,311.9255,0,0.0,0.0,950.0523,23,7675.9346,5889.1927,1006.6896,173.2116,0.040687
52,35,35,1,440.5854,35.3936,1,325.2367,0,0.0,0.0,1005.1727,24,7980.919,6102.9739,1047.7725,174.3707,0.040751
53,35,35,0,452.1245,37.134,2,319.5318,0,0.0,0.0,1108.5406,26,8328.5743,6348.0344,1046.9993,181.3724,0.03929
54,35,35,0,463.1634,40.3517,0,351.5452,0,0.0,0.0,1108.5406,26,8576.3434,6514.3886,1128.4143,186.1254,0.038736
55,35,35,0,469.3582,40.3517,0,374.882,0,0.0,0.0,1108.5406,26,8823.5646,6699.0889,1190.935,191.4025,0.038165
56,35,35,0,476.0691,40.3517,0,392.5487,0,0.0,0.0,1108.5406,26,9070.571,6895.915,1241.1153,197.0261,0.037593
57,35,35,0,483.0823,40.3517,0,406.4998,0,0.0,0.0,1108.5406,26,9317.5419,7100.7873,1283.2139,202.8796,0.037028
58,36,36,1,492.4937,40.3517,1,402.6667,0,0.0,0.0,1168.4173,27,9636.4244,7360.557,1287.4501,204.4599,0.037178
59,36,36,0,505.2058,42.0914,1,400.847,0,0.0,0.0,1228.7879,28,9950.731,7606.358,1295.5851,211.2877,0.036228
60,37,37,1,517.0037,43.8301,2,389.5219,0,0.0,0.0,1341.4568,30,10331.1611,7890.758,1283.9463,213.2637,0.036055
61,37,37,0,531.502,47.0604,0,418.848,0,0.0,0.0,1341.4568,30,10595.1814,8078.4333,1360.2913,218.336,0.03561
62,37,37,0,537.8886,47.0604,0,440.4404,0,0.0,0.0,1341.4568,30,10858.3034,8282.0707,1419.7759,223.8397,0.035156
63,37,37,0,544.6788,47.0604,0,456.9623,0,0.0,0.0,1341.4568,30,11120.781,8496.1209,1468.2033,229.6249,0.034703
64,38,38,1,553.9361,47.0604,1,452.2913,0,0.0,0.0,1409.3325,31,11462.6163,8771.9543,1471.3296,230.8409,0.03489
65,38,38,0,566.9697,48.9242,1,451.4261,0,0.0,0.0,1473.1942,32,11795.2232,9029.7835,1482.2455,237.6259,0.034092
66,38,38,0,576.4446,50.657,0,473.786,0,0.0,0.0,1473.1942,32,12065.3006,9238.376,1543.7303,243.1152,0.033694
67,38,38,0,583.1186,50.657,0,490.7897,0,0.0,0.0,1473.1942,32,12334.4309,9457.7145,1593.5222,248.8872,0.033295
68,39,39,1,592.2609,50.657,1,485.4105,0,0.0,0.0,1544.2403,33,12685.7908,9741.1396,1595.4109,249.7728,0.033522
69,41,41,2,609.8344,52.5105,3,448.3167,0,0.0,0.0,1747.2055,36,13187.7013,10116.0373,1529.4584,246.7326,0.033987
