# Données détaillées de chaque cascade de faillites
step,nb_entites_faillie,volume_actifs_detruits,volume_creances_annulees,volume_passif_efface,actif_systeme_avant,passif_systeme_avant,liquidite_systeme_avant,nb_entites_avant,ratio_destruction,ratio_contagion,nb_contamines,nb_deja_fragiles,passif_median_failli
338,1,399.7791,1726.7482,400.466,280483.5099,136627.3647,13450.4116,185,0.001425,0.0,0,1,400.466
341,1,458.7816,1896.7754,460.5147,284489.2321,138021.193,12982.8978,186,0.001613,0.0,0,1,460.5147
342,1,371.1131,1669.9986,371.7334,282709.5009,136819.3784,14159.3267,185,0.001313,0.0,0,1,371.7334
346,1,386.9016,1695.5209,387.3764,288700.2035,138841.9895,13536.1459,188,0.00134,0.0,0,1,387.3764
351,1,400.9569,1816.94,401.0015,294213.433,139927.7482,14202.0268,188,0.001363,0.0,0,1,401.0015
354,1,368.3978,1718.0442,368.8093,298805.8698,140938.2068,14091.4322,189,0.001233,0.0,0,1,368.8093
357,2,745.7934,3511.8557,746.7767,301884.0834,141448.1362,14516.4209,190,0.00247,0.0,0,2,389.4463
359,1,346.237,1671.0507,348.8042,300757.4448,141323.0127,14740.5321,190,0.001151,0.0,0,1,348.8042
361,1,397.0694,1785.5173,399.1107,300868.1052,141143.3628,15432.3705,191,0.00132,0.0,0,1,399.1107
364,1,346.841,1620.3777,347.2722,303346.8826,142593.3807,14816.0292,192,0.001143,0.0,0,1,347.2722
365,2,837.3328,3819.0584,839.7695,302985.4919,142644.282,14849.0872,193,0.002764,0.0,0,2,454.8272
367,1,428.1502,1977.2406,432.0709,301706.1827,142708.1152,14739.8968,191,0.001419,0.0,0,1,432.0709
368,1,335.0075,1693.7857,337.7901,300682.3465,142496.1043,14902.0804,190,0.001114,0.0,0,1,337.7901
369,1,436.6977,1958.0853,438.5159,300626.7445,142847.4404,14578.2435,189,0.001453,0.0,0,1,438.5159
370,3,1122.5541,5388.652,1127.3156,299341.7223,142408.8571,14966.9157,190,0.00375,0.0,0,3,351.5248
371,2,769.9965,3651.5692,774.2629,295539.6295,142539.4691,14072.6667,189,0.002605,0.0,0,2,443.2718
373,2,795.8972,3828.8623,798.9975,293851.3353,142039.7609,14575.5531,190,0.002709,0.0,0,2,405.4284
375,2,788.8745,3768.3721,791.3672,291396.3618,141353.2776,15222.2854,189,0.002707,0.0,0,2,439.9593
376,1,511.7576,2197.2978,516.4108,288850.7991,141415.4175,14711.8348,187,0.001772,0.0,0,1,516.4108
377,3,1158.9003,5453.7331,1164.3662,289674.4417,142650.8606,13320.3023,187,0.004001,0.0,0,3,396.043
381,1,366.957,1842.8359,367.4171,287656.6635,141138.7666,15171.071,188,0.001276,0.0,0,1,367.4171
382,1,320.4407,1658.7639,320.5453,286780.7914,141129.2737,15167.2793,187,0.001117,0.0,0,1,320.5453
383,1,338.6831,1735.2817,339.1693,285937.2471,141036.7545,15296.4518,187,0.001184,0.0,0,1,339.1693
387,1,435.4636,2027.6077,435.7546,291280.3924,142714.2373,14764.191,189,0.001495,0.0,0,1,435.7546
388,1,393.824,1947.2908,394.7089,290842.6131,142929.1431,14495.2071,189,0.001354,0.0,0,1,394.7089
392,1,455.3931,2132.5083,456.9322,295376.3987,143594.1516,15075.5705,192,0.001542,0.0,0,1,456.9322
397,3,1195.1646,6003.001,1199.3294,299669.6294,144598.5162,15609.5011,192,0.003988,0.0,0,3,414.3286
399,1,426.372,2057.078,427.3033,294966.5283,144035.5288,15689.905,190,0.001445,0.0,0,1,427.3033
400,1,445.6432,2114.7845,446.8209,293447.7809,143773.1037,15887.7047,190,0.001519,0.0,0,1,446.8209
407,1,410.148,2050.9409,412.7995,300731.0689,146116.7468,15442.4159,190,0.001364,0.0,0,1,412.7995
408,1,337.3978,1771.6326,339.912,299292.9709,145773.771,15688.2095,189,0.001127,0.0,0,1,339.912
410,1,353.5857,1894.6853,354.1767,302292.496,147820.4674,13957.9107,190,0.00117,0.0,0,1,354.1767
411,1,447.2819,2210.8506,449.3678,301308.063,147184.985,14565.8243,189,0.001484,0.0,0,1,449.3678
413,1,394.7027,2021.1603,396.8347,301631.0786,146823.0021,15116.5588,188,0.001309,0.0,0,1,396.8347
417,2,711.6766,3886.4529,716.68,303105.5496,146758.4255,15949.7446,187,0.002348,0.0,0,2,371.4001
419,1,528.628,2482.4683,532.9439,303114.5822,148307.8805,14232.1221,187,0.001744,0.0,0,1,532.9439
421,1,527.5815,2478.4998,531.0428,302136.9594,147157.0088,15463.5805,188,0.001746,0.0,0,1,531.0428
427,1,386.6549,2022.6985,388.8212,307279.7283,148570.0057,15230.2845,189,0.001258,0.0,0,1,388.8212
428,1,457.7635,2248.5793,458.6131,306238.1035,148349.6389,15344.7484,188,0.001495,0.0,0,1,458.6131
429,1,452.9271,2336.0086,455.7592,304567.8135,147883.6167,15640.7559,188,0.001487,0.0,0,1,455.7592
432,1,426.8321,2182.6266,427.4311,305985.4599,148473.8104,15402.8314,187,0.001395,0.0,0,1,427.4311
434,1,376.1728,2063.2828,376.546,305360.9735,148117.5294,15881.1305,188,0.001232,0.0,0,1,376.546
435,1,477.4937,2334.2215,478.2864,304887.8314,148547.3712,15349.4799,188,0.001566,0.0,0,1,478.2864
437,1,473.6602,2384.4897,477.797,306414.0913,149442.3519,14512.0559,187,0.001546,0.0,0,1,477.797
444,2,1052.878,5166.8643,1058.2484,312510.0124,149372.7492,16262.3714,192,0.003369,0.0,0,2,567.3972
445,1,411.3742,2265.4291,414.6579,308110.5721,149100.2654,15768.9213,190,0.001335,0.0,0,1,414.6579
447,1,453.4292,2389.8927,454.1434,308509.9636,149441.3819,15587.2593,189,0.00147,0.0,0,1,454.1434
450,2,935.1729,4804.0105,939.9937,309665.1166,149521.1251,15874.581,188,0.00302,0.0,0,2,563.1128
452,1,451.9905,2335.4045,453.8073,307889.2897,149746.5633,15244.2144,187,0.001468,0.0,0,1,453.8073
453,1,460.0258,2339.6388,461.972,305952.3111,149084.2065,15743.6632,188,0.001504,0.0,0,1,461.972
456,1,552.2783,2696.351,555.2709,308355.6155,150203.9685,15024.6514,189,0.001791,0.0,0,1,555.2709
457,3,1332.4045,7086.9545,1338.8617,305611.59,149118.1314,15859.4598,189,0.00436,0.0,0,3,456.3667
459,1,450.1277,2385.8601,453.2877,300554.9529,149004.8151,15182.0516,187,0.001498,0.0,0,1,453.2877
462,1,451.0747,2353.9608,454.6026,303924.173,149686.4174,14925.9832,187,0.001484,0.0,0,1,454.6026
463,1,441.9721,2426.1476,444.7138,302109.1428,149006.5786,15438.0676,186,0.001463,0.0,0,1,444.7138
468,1,407.6206,2261.6195,409.7155,307835.0593,150824.6001,14635.0439,187,0.001324,0.0,0,1,409.7155
471,1,505.6335,2570.3275,509.9617,308403.5569,149980.2994,15908.6978,186,0.00164,0.0,0,1,509.9617
475,2,933.22,4851.2527,938.5816,311811.708,150765.2175,15824.1721,190,0.002993,0.0,0,2,479.6931
476,1,517.1176,2604.2487,517.4212,307331.6187,150068.2956,15892.5115,189,0.001683,0.0,0,1,517.4212
477,1,455.2055,2401.5667,457.8126,305002.3171,149464.8211,16292.1015,189,0.001492,0.0,0,1,457.8126
478,1,430.9056,2305.448,433.1319,304756.801,150309.0416,15284.9935,188,0.001414,0.0,0,1,433.1319
480,1,489.4608,2534.2533,490.7391,306026.9382,150918.1239,14849.4488,188,0.001599,0.0,0,1,490.7391
487,1,372.2787,2105.9282,374.9793,311858.1647,150958.0934,16488.2625,191,0.001194,0.0,0,1,374.9793
497,1,403.198,2330.7454,405.8692,326818.6603,154515.91,15839.4121,194,0.001234,0.0,0,1,405.8692
498,1,458.8771,2534.8402,460.3061,325081.3703,153994.9467,16297.4427,194,0.001412,0.0,0,1,460.3061
500,1,439.0967,2453.6096,441.8849,326019.0185,154574.235,15927.2616,194,0.001347,0.0,0,1,441.8849
502,1,484.3933,2564.8241,486.4454,325061.8878,154078.6681,16669.1131,195,0.00149,0.0,0,1,486.4454
505,1,474.5741,2485.2997,475.5703,329606.0732,155976.2392,15292.5551,194,0.00144,0.0,0,1,475.5703
511,1,515.6645,2723.26,517.1005,335668.6191,156201.2691,16654.5841,197,0.001536,0.0,0,1,517.1005
514,1,589.3548,2905.3154,592.3597,335753.6903,156297.5422,17075.5065,198,0.001755,0.0,0,1,592.3597
516,2,1174.9532,5687.5125,1179.4866,334585.8062,156323.2669,17126.8013,198,0.003512,0.0,0,2,636.6648
518,1,514.8668,2686.3396,516.7722,330400.856,155926.9229,17042.0819,199,0.001558,0.0,0,1,516.7722
519,1,576.706,2877.9913,580.9399,328337.7273,155692.2269,17107.6748,199,0.001756,0.0,0,1,580.9399
523,1,456.2591,2593.1206,458.4975,333474.903,157914.5417,15701.2954,200,0.001368,0.0,0,1,458.4975
524,1,615.8021,2925.979,619.9096,331316.155,157085.058,16419.582,199,0.001859,0.0,0,1,619.9096
549,1,527.728,2809.61,529.4026,366367.7899,165202.9641,15865.9884,210,0.00144,0.0,0,1,529.4026
552,1,588.8534,2979.9069,593.5163,368105.1074,165399.2719,16254.9563,213,0.0016,0.0,0,1,593.5163
556,1,371.1161,2332.2038,372.9651,369822.5411,165009.5657,17608.9629,216,0.001003,0.0,0,1,372.9651
558,2,1073.5452,5659.386,1076.6594,372048.4438,166542.9382,16464.9773,216,0.002885,0.0,0,2,563.4131
559,1,487.2697,2620.4556,489.6203,366599.9512,165293.5551,17012.258,214,0.001329,0.0,0,1,489.6203
565,1,424.4076,2469.4816,424.9185,374396.7205,166512.8503,17697.9029,216,0.001134,0.0,0,1,424.9185
567,1,371.6463,2270.5542,372.2352,373999.9387,166460.8671,18066.7013,216,0.000994,0.0,0,1,372.2352
575,1,433.3605,2639.1614,435.7627,386960.6455,170035.1487,17004.8233,219,0.00112,0.0,0,1,435.7627
577,3,1333.1609,7736.3657,1340.5572,387025.3832,169766.7964,17552.4768,218,0.003445,0.0,0,3,398.198
585,1,446.242,2540.0141,446.8388,392988.3442,170608.2594,18074.8801,217,0.001136,0.0,0,1,446.8388
588,1,364.8478,2362.7322,366.3393,394827.5415,171168.4595,18002.4988,217,0.000924,0.0,0,1,366.3393
591,1,383.4714,2464.5898,383.9788,400554.9793,174229.3636,15551.9873,219,0.000957,0.0,0,1,383.9788
594,1,357.8695,2271.4216,358.594,401508.0235,172453.767,17942.8362,218,0.000891,0.0,0,1,358.594
595,1,355.5853,2286.8403,355.7777,400115.6473,172135.4163,18221.2224,218,0.000889,0.0,0,1,355.7777
597,1,467.0494,2720.029,470.8311,400451.665,172375.4454,18246.4665,218,0.001166,0.0,0,1,470.8311
598,1,561.6835,3073.2491,564.6868,397978.5914,171689.102,18767.978,218,0.001411,0.0,0,1,564.6868
602,1,443.3469,2654.3049,446.544,401616.7063,172990.736,18164.4271,221,0.001104,0.0,0,1,446.544
604,1,409.135,2500.3844,409.5267,402217.1419,173460.9624,17858.0398,220,0.001017,0.0,0,1,409.5267
